id,app_id,user_ip,user_name,rating,review_text,created_at,platform,upvotes,downvotes
10,thekku-island,103.153.104.232,anonmouus,4,it great for malayalis i got it for free,2026-03-11 12:29:33.773396+00,Windows,4,
3,google-chrome,103.176.185.28,b,4,bbbb,2025-12-24 13:31:41.715138+00,Android,4,
7,google-chrome,103.176.185.28,b,4,pp,2025-12-24 13:35:50.369504+00,Windows,4,
8,gta-4,103.147.208.179,llol,3,jjjj,2025-12-28 11:18:39.176089+00,Windows,4,
9,geogebra-classic,157.51.214.91,"Fathima suhaila ck ",4,,2026-01-23 12:16:18.702262+00,Android,4,
