id,review_id,user_ip,is_like,created_at
1,3,103.176.185.28,true,2025-12-24 13:32:18.969124+00
8,8,103.153.105.147,true,2026-02-28 11:26:07.132616+00
9,10,103.153.104.232,true,2026-03-11 12:29:36.759612+00
